date,description,amount,category
10/15/2025,Grocery Store,-127.84,Groceries
10/14/2025,Salary,5200,Salary
10/13/2025,Coffee Shop,-6.75,Food & Drink
10/12/2025,Water Bill,-89.50,Utilities
10/11/2025,Restaurant,-62.30,Food & Drink
10/10/2025,Internet Bill,-75.00,Utilities
10/09/2025,Gas Station,-42.15,Transportation
10/08/2025,Streaming Service,-14.99,Entertainment
10/07/2025,Dentist,-150.00,Health
10/06/2025,Department Store,-89.99,Shopping
10/05/2025,Grocery Store,-103.42,Groceries
10/04/2025,Coffee Shop,-5.25,Food & Drink
10/03/2025,Parking Fee,-12.00,Transportation
10/02/2025,Phone Bill,-65.00,Utilities
10/01/2025,Salary,5200,Salary
09/30/2025,Gym Membership,-45.00,Health
09/29/2025,Online Shopping,-134.50,Shopping
09/28/2025,Fast Food,-18.75,Food & Drink
09/27/2025,Gas Station,-38.90,Transportation
09/26/2025,Concert Tickets,-85.00,Entertainment
